Government_lag,CPI_lag,R2,Government_p,CPI_p,Sample_Size,Analysis_Type,Industry
0,0,0.4571724993274865,0.003926818614674588,0.10087383218547297,120,By_Industry,Wheat Processing
0,0,0.07485777627911738,0.6976569846180936,0.5178881892841198,120,By_Industry,Food Service
0,1,0.452294925096015,0.0007819083231459523,0.39090280904801666,117,By_Industry,Wheat Processing
0,1,0.06859673899104879,0.45537893281088726,0.5761487682593716,117,By_Industry,Food Service
0,2,0.4589982252991289,0.00037408286054851914,0.7706304128496408,114,By_Industry,Wheat Processing
0,2,0.061797584452144005,0.13042888241393014,0.6959400671626188,114,By_Industry,Food Service
0,3,0.4645458033841239,0.0006295169749999108,0.9138166674919459,111,By_Industry,Wheat Processing
0,3,0.05619392205211127,0.0384693585121314,0.8108432543029933,111,By_Industry,Food Service
0,4,0.4703967734357757,0.0006579726842250722,0.8512246024640282,108,By_Industry,Wheat Processing
0,4,0.05461967120006139,0.04203691387280273,0.8387252075075813,108,By_Industry,Food Service
1,0,0.39511655622456565,0.00015745547099510482,0.044293202386431085,117,By_Industry,Wheat Processing
1,0,0.06922133911083872,0.8515043693576385,0.5127278711281442,117,By_Industry,Food Service
1,1,0.38338658186495733,8.707722877598911e-05,0.21320526693054065,117,By_Industry,Wheat Processing
1,1,0.06696834462896106,0.7258334635021799,0.5303677104419697,117,By_Industry,Food Service
1,2,0.3831800077109989,5.431565584013143e-05,0.5757061308293747,114,By_Industry,Wheat Processing
1,2,0.05775478685114155,0.11402348990072753,0.6434351365342832,114,By_Industry,Food Service
1,3,0.3874597160263977,0.00021441888799289543,0.9704454238562297,111,By_Industry,Wheat Processing
1,3,0.049938049128665285,0.022566894828228712,0.7595244192915191,111,By_Industry,Food Service
1,4,0.4068832955999804,0.00019556401328957307,0.5441546225434508,108,By_Industry,Wheat Processing
1,4,0.04961707560613793,0.01653648690484988,0.812790322967456,108,By_Industry,Food Service
2,0,0.36794889095767735,0.010430878378104413,2.396331038045929e-07,114,By_Industry,Wheat Processing
2,0,0.06902947949844174,0.004211206247716204,0.41900649952615554,114,By_Industry,Food Service
2,1,0.29693667988010763,0.5293365268702179,2.5502699398938233e-06,114,By_Industry,Wheat Processing
2,1,0.06334596476446064,3.944192114158085e-05,0.4469045194522008,114,By_Industry,Food Service
2,2,0.27282056657339593,0.06408289573638215,0.00035737775747368694,114,By_Industry,Wheat Processing
2,2,0.058338572156992674,2.220446049250313e-16,0.4726509585344687,114,By_Industry,Food Service
2,3,0.2591970775003073,0.027786734695584014,0.024167529709134827,111,By_Industry,Wheat Processing
2,3,0.04237683989912322,0.7940761815643973,0.5695087115692292,111,By_Industry,Food Service
2,4,0.2647823078453827,0.010815943951845597,0.42909025901249676,108,By_Industry,Wheat Processing
2,4,0.03868654432076768,0.6983874806876815,0.6291570365194905,108,By_Industry,Food Service
3,0,0.4337462769214855,1.598343679631853e-11,3.439698526008783e-09,111,By_Industry,Wheat Processing
3,0,0.07711674287115655,7.847056338050606e-13,0.2985064484748192,111,By_Industry,Food Service
3,1,0.32627910430254414,3.911274460466352e-05,2.096292028852531e-10,111,By_Industry,Wheat Processing
3,1,0.07161685565063436,0.0,0.3207455384566904,111,By_Industry,Food Service
3,2,0.2541530487216216,0.14087244435184765,1.2723155862204294e-13,111,By_Industry,Wheat Processing
3,2,0.06372365774094002,9.595303407383682e-07,0.35433396472843226,111,By_Industry,Food Service
3,3,0.20353987641629456,0.5647986524268855,1.2434497875801753e-13,111,By_Industry,Wheat Processing
3,3,0.04699598957946749,0.17194024516906947,0.4277423881851461,111,By_Industry,Food Service
3,4,0.18306311512706697,0.15797933967935096,8.561012820229585e-05,108,By_Industry,Wheat Processing
3,4,0.04091697373223713,0.3549047996739634,0.4883108811471706,108,By_Industry,Food Service
4,0,0.49518814246031206,3.968695565514935e-07,4.741919034545461e-06,108,By_Industry,Wheat Processing
4,0,0.09505515049452662,0.0,0.24420742151986685,108,By_Industry,Food Service
4,1,0.4090310451757695,1.3462415262566196e-06,3.79264504646315e-06,108,By_Industry,Wheat Processing
4,1,0.09150364387625587,0.0,0.2555700893741706,108,By_Industry,Food Service
4,2,0.32114667604789593,1.2641980094096894e-05,1.745035993261368e-06,108,By_Industry,Wheat Processing
4,2,0.08428704562496203,0.0,0.2742794640196107,108,By_Industry,Food Service
4,3,0.22626378401918523,0.0016846250684436903,1.695799056733449e-11,108,By_Industry,Wheat Processing
4,3,0.05935287967891989,2.3314683517128287e-13,0.3390796552045843,108,By_Industry,Food Service
4,4,0.16085170268930182,0.48584481748140873,7.0956573949843005e-12,108,By_Industry,Wheat Processing
4,4,0.0565612963086094,0.00045026583370977313,0.3521994705810836,108,By_Industry,Food Service
